Year,Operational_low,Operational_high,Under construction_low,Under construction_high,FID_low,FID_high,FEED_low,FEED_high,Feasibility/Permitting_low,Feasibility/Permitting_high,Concept_low,Concept_high,Failed/Paused/No update_low,Failed/Paused/No update_high
2011,5E-06,9E-06,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.01095
2013,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0.016059999
2015,2E-05,7.3E-05,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.4E-05,8E-05,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.1095
2019,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2020,0.105,0.105,0,0,0,0,0,0,0,0,0,0,0.08,0.146
2021,0.06693132,0.36393132,0,0,0,0,0,0,0,0,0,0,0,0
2022,0.0855,0.0855,0,0,0,0,0,0,0,0,0,0,0,0
2023,0.05319802,0.068274401,0,0,0,0,0,0,0,0,0,0,0.02,0.0365
2024,2.271E-05,8.28915E-05,0.532,0.63365,0,0,0,0,0,0,0.015,0.027,0,0
2025,0,0,0.3556056,0.85221044,0.02,0.073,0.0464542,0.085357827,0.014,0.08,0.106,0.106,0.49,0.556
2026,0,0,0.353599998,0.842,0.893,0.893,0.123,0.123,0.2064,0.21168,0.05,0.127,0.07,0.096500001
2027,0,0,0.485600011,0.632390012,0.075,0.075,0.0015,0.0027,0.087,0.087,0.0642,0.101829999,0.098,0.502199997
2028,0,0,0.035,0.2,0,0,0.068,0.068,0.321,0.3475,0.022,0.080299999,0,0
2029,0,0,0,0,0,0,0,0,0.37,0.37,0.336399994,0.801209984,0.02,0.073
2030,0,0,0,0,0,0,0.105980003,0.605599976,0.1274,0.14701,1.114,1.5436,0,0
