Year,Operational_low,Operational_high,Under construction_low,Under construction_high,FID_low,FID_high,FEED_low,FEED_high,Feasibility/Permitting_low,Feasibility/Permitting_high,Concept_low,Concept_high,Failed/Paused/No update_low,Failed/Paused/No update_high
2005,0,0,0,0,0,0,0,0,0,0,0,0,0.0118625,0.024674
2007,0,0,0,0,0,0,0,0,0,0,0,0,0.003913,0.00813904
2008,0,0,0,0,0,0,0,0,0,0,0,0,0.000175716,0.000320682
2009,0.00042,0.0024,0,0,0,0,0,0,0,0,0,0,0,0
2010,0.00014,6.72E-05,0,0,0,0,0,0,0,0,0,0,2.1E-05,0.00012
2011,5E-06,9E-06,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.01095
2013,0.00014328,0.000257904,0,0,0,0,0,0,0,0,0,0,0.467296002,0.852815187
2014,0.057487716,0.057396344,0,0,0,0,0,0,0,0,0,0,3.245E-05,0.00018452
2015,2.88E-05,0.00010512,0,0,0,0,0,0,0,0,0,0,0.01833984,0.033470207
2016,1.4E-05,8E-05,0,0,0,0,0,0,0,0,0,0,0.017516399,0.097490112
2017,2.25E-06,4.05E-06,0,0,0,0,0,0,0,0,0,0,0.298516919,1.110437569
2018,1.4E-05,8E-05,0,0,0,0,0,0,0,0,0,0,0,0
2019,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.04231552,0.1293344
2020,0.105,0.105,0,0,0,0,0,0,0,0,0,0,0.166142078,0.490447594
2021,0.16693132,0.46393132,0,0,0,0,0,0,0,0,0,0,0.031937333,0.058285633
2022,0.216397398,0.277826637,0.117489601,0.056395008,0,0,0,0,0,0,0,0,0.167688807,0.423056
2023,1.053198297,1.068275409,0,0,0,0,0,0,0.14,0.8,0,0,0.031634336,0.102981918
2024,0.258580688,0.392476211,0.622285724,1.147213068,0,0,0,0,0.117948576,0.659964071,0.02555171,0.046272903,0.014328,0.014328
2025,0,0,2.554551214,4.571931954,0.04,0.1095,0.184915647,0.499927994,0.270836199,0.440678491,1.140592948,1.982423277,0.562626438,0.832808533
2026,0,0,0.465599998,1.482,0.98611326,1.41151719,0.254260359,0.720976323,1.202573293,2.42179905,1.024780797,1.347072007,0.196608688,0.681778535
2027,0,0,1.244688024,1.391478025,0.474752502,2.359300049,0.823810711,2.253771922,0.931186609,3.524185835,0.346870745,0.78115143,0.128280001,0.557460999
2028,0,0,0.035,0.2,0.076875481,0.439288483,0.971929852,3.10756385,0.844680716,2.640810249,0.747034013,1.06114743,0,0
2029,0,0,0.077371201,0.077371201,0,0,0.2116992,0.28735104,0.43,0.589,0.441698994,0.920551334,0.02,0.073
2030,0,0,0,0,0,0,0.891004326,2.114584351,1.142628165,4.244052237,1.249421537,1.967866114,0,0
